,geometry,n
18,POINT (127.36861841666665 36.34303416666666),21
19,POINT (127.369032625 36.348072312499994),17
20,POINT (127.33173550000001 36.32937875),8
21,POINT (127.33797040000002 36.3300244),5
22,POINT (127.36878163636365 36.36610795454545),22
23,POINT (127.35795165909093 36.35408638636363),45
24,POINT (127.35342630303028 36.351561606060606),32
25,POINT (127.34790214285721 36.352454238095234),42
26,POINT (127.36307399999995 36.365462093023254),42
27,POINT (127.34767899999999 36.34763613333333),15
28,POINT (127.34639075000001 36.341028333333334),12
29,POINT (127.34926116666668 36.33779716666667),6
30,POINT (127.3562217142857 36.365556),9
31,POINT (127.3261482857143 36.36021642857143),6
32,POINT (127.34573660000001 36.366751799999996),6
33,POINT (127.34074646666664 36.3499184),15
34,POINT (127.34047966666667 36.3446),12
35,POINT (127.33750242857141 36.33980871428572),7
36,POINT (127.33396233333333 36.33510233333333),6
37,POINT (127.3698365 36.329440500000004),2
38,POINT (127.3180505 36.337959999999995),2
39,POINT (127.31966800000001 36.342376800000004),5
40,POINT (127.32613525000001 36.34823075),4
41,POINT (127.3336065 36.3497135),4
42,POINT (127.353755 36.34705),1
43,POINT (127.340582 36.333504250000004),4
44,POINT (127.33152733333333 36.35711166666666),11
45,POINT (127.318206 36.359336),2
46,POINT (127.36890185714286 36.36148514285714),8
47,POINT (127.329071 36.352325),1
48,POINT (127.36666349999999 36.338731499999994),4
